topic,term,beta
5,10_minut_break,2.4366207063347e-311
6,10_minut_break,5.015809806124802e-4
7,10_minut_break,4.591389627235042e-259
8,10_minut_break,6.20233686803e-313
9,10_minut_break,0
10,10_minut_break,2.1834113782049064e-228
11,10_minut_break,1.4745907351723914e-303
12,10_minut_break,1.780771376154497e-291
13,10_minut_break,2.5859628347048708e-272
14,10_minut_break,3.1248383312964164e-305
15,10_minut_break,6.799086820911552e-266
16,10_minut_break,5.81774830655307e-219
1,10_percent_discount,2.2404560094809706e-175
2,10_percent_discount,8.301474922632512e-193
3,10_percent_discount,2.624387920505974e-169
4,10_percent_discount,1.961386712559684e-155
5,10_percent_discount,2.2283824446219885e-230
6,10_percent_discount,1.5426929904966764e-113
7,10_percent_discount,1.1826300449468869e-143
8,10_percent_discount,3.281909256839567e-203
9,10_percent_discount,2.1486672787601273e-46
10,10_percent_discount,9.142230175172726e-4
11,10_percent_discount,2.821085774162259e-86
12,10_percent_discount,5.521201928446177e-209
13,10_percent_discount,7.556081911707416e-201
14,10_percent_discount,1.997281572195115e-151
15,10_percent_discount,2.655013337729192e-156
16,10_percent_discount,9.111131956848298e-182
1,10_store_brand,1.0989367473727296e-214
2,10_store_brand,1.0625073923050518e-214
3,10_store_brand,2.8475601351261787e-233
4,10_store_brand,3.6086059102958195e-4
5,10_store_brand,7.516572902389857e-305
6,10_store_brand,4.6034458998715377e-271
7,10_store_brand,1.7089400182141693e-212
8,10_store_brand,5.041050186174955e-221
9,10_store_brand,2.5125354980094506e-173
10,10_store_brand,2.5e-323
11,10_store_brand,1.68128086513786e-198
12,10_store_brand,1.2174950073730514e-270
13,10_store_brand,1.2959523364412865e-220
14,10_store_brand,6.775546721046982e-198
15,10_store_brand,3.527755727693487e-263
16,10_store_brand,1.637655463872055e-274
1,10_team_discount,4.883355825345853e-52
2,10_team_discount,3.6735518953986144e-221
3,10_team_discount,1.4492203841529956e-148
4,10_team_discount,3.6086059102958195e-4
5,10_team_discount,8.830127216160563e-224
6,10_team_discount,3.2334106206441197e-103
7,10_team_discount,2.9228268438613364e-46
8,10_team_discount,8.582965885001484e-187
9,10_team_discount,1.7596439027369012e-150
10,10_team_discount,7.677692363536756e-232
11,10_team_discount,4.771469349083569e-130
12,10_team_discount,4.887323193673463e-50
13,10_team_discount,8.949033354517496e-137
14,10_team_discount,1.0979241697146565e-157
15,10_team_discount,2.5776362992401898e-200
16,10_team_discount,2.895439945523538e-180
